"containsURL","URLcount","RTcount","htgScore","reply","OOVratio","first_follower","first_popularity","first_mention","first_list","sum_follower","sum_popularity","sum_mention","sum_list","important_follower","important_popularity","important_mention","important_list"
"False","0.0","0","96.04","False","0.0073","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"True","1.0","0","503.5","False","0.0709","220","0.2","0","6","220","0.2","0","6","220","0.2","0","6"
"True","1.0","0","791.5","False","0.0448","4536","0.2","0","44","4536","0.2","0","44","4536","0.2","0","44"
"False","0.0","0","211.7","False","0.0316","47","0.2","1","1","47","0.2","1","1","47","0.2","1","1"
"True","1.0","0","148.0","False","0.0429","17","0.2","5","0","17","0.2","5","0","17","0.2","5","0"
"True","1.0","0","1275.0","False","0.0792","3323","0.2","2","39","3323","0.2","2","39","3323","0.2","2","39"
"True","2.0","0","24.0","False","0.0455","79","0.2","0","2","79","0.2","0","2","79","0.2","0","2"
"False","0.0","0","75.8333","False","0.0047","21","0.2","0","0","21","0.2","0","0","21","0.2","0","0"
"True","3.0","0","268.375","False","0.0331","682","0.2","1","56","682","0.2","1","56","682","0.2","1","56"
"True","1.0","0","212.25","False","0.0396","195","0.2","0","3","195","0.2","0","3","195","0.2","0","3"
"False","0.0","1","96.4","False","0.0072","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"True","1.0","0","563.6667","False","0.0476","14799","0.2","1","295","14799","0.2","1","295","14799","0.2","1","295"
"True","1.0","0","1275.0","False","0.0672","1758","0.2","0","99","1758","0.2","0","99","1758","0.2","0","99"
"False","0.0","0","259.6","False","0.0578","201","0.2","0","2","201","0.2","0","2","201","0.2","0","2"
"True","1.0","0","155.2727","False","0.0135","507","0.2","0","6","507","0.2","0","6","507","0.2","0","6"
"True","1.0","0","1275.0","False","0.0593","3323","0.2","2","39","3323","0.2","2","39","3323","0.2","2","39"
"True","1.0","0","638.0","False","0.0699","3323","0.2","2","39","3323","0.2","2","39","3323","0.2","2","39"
"False","0.0","0","242.7143","False","0.028","39","0.2","0","0","39","0.2","0","0","39","0.2","0","0"
"True","1.0","0","321.25","False","0.0769","220","0.2","0","6","220","0.2","0","6","220","0.2","0","6"
"False","0.0","1","98.8333","False","0.0072","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"True","3.0","0","268.375","False","0.0331","682","0.2","1","56","682","0.2","1","56","682","0.2","1","56"
"False","0.0","0","84.4167","False","0.004","75","0.2","0","0","75","0.2","0","0","75","0.2","0","0"
"True","3.0","8","0.0","False","0.0372","24718","0.2","0","335","24718","0.2","0","335","24718","0.2","0","335"
"True","1.0","1","317.8","False","0.0556","10045","0.2","0","164","10045","0.2","0","164","10045","0.2","0","164"
"False","0.0","0","202.7143","False","0.0282","3","0.2","0","0","3","0.2","0","0","3","0.2","0","0"
