"containsURL","URLcount","RTcount","htgScore","reply","OOVratio","first_follower","first_popularity","first_mention","first_list","sum_follower","sum_popularity","sum_mention","sum_list","important_follower","important_popularity","important_mention","important_list"
"False","0.0","0","68.4444","False","0.089","544","0.2","0","14","544","0.2","0","14","544","0.2","0","14"
"True","1.0","2","77.5","False","0.0498","373","0.36","1","1","373","0.36","1","1","373","0.36","1","1"
"False","0.0","0","431.0","False","0.0704","236","0.2","1","5","236","0.2","1","5","236","0.2","1","5"
"True","3.0","0","243.0","False","0.0846","2118","0.36","94","34","2118","0.36","94","34","2118","0.36","94","34"
"True","4.0","0","178.0","False","0.0369","416","0.2","0","5","416","0.2","0","5","416","0.2","0","5"
"True","1.0","0","158.5","False","0.0841","2464","0.2","0","47","2464","0.2","0","47","2464","0.2","0","47"
"True","2.0","0","223.5","False","0.0398","2118","0.36","94","34","2118","0.36","94","34","2118","0.36","94","34"
"False","0.0","0","179.0","False","0.0478","346","0.2","0","13","346","0.2","0","13","346","0.2","0","13"
"True","1.0","0","93.8889","False","0.0086","79","0.2","0","2","79","0.2","0","2","79","0.2","0","2"
"False","0.0","1","49.75","False","0.0199","194","0.2","0","1","194","0.2","0","1","194","0.2","0","1"
"True","2.0","0","122.5","False","0.0424","2118","0.36","94","34","2118","0.36","94","34","2118","0.36","94","34"
"True","1.0","0","45.0","False","0.0325","4884","0.2","0","99","4884","0.2","0","99","4884","0.2","0","99"
"False","0.0","1","62.65","False","0.0292","487","0.2","0","3","487","0.2","0","3","487","0.2","0","3"
"False","0.0","1","431.0","False","0.0467","39","0.2","0","0","39","0.2","0","0","39","0.2","0","0"
"True","1.0","0","77.7143","False","0.0417","113","0.2","0","23","113","0.2","0","23","113","0.2","0","23"
"False","0.0","0","174.6667","False","0.0376","460","0.2","0","4","460","0.2","0","4","460","0.2","0","4"
"True","4.0","0","178.0","False","0.0519","416","0.2","0","5","416","0.2","0","5","416","0.2","0","5"
"True","2.0","0","100.1429","False","0.03","682","0.2","0","56","682","0.2","0","56","682","0.2","0","56"
"True","1.0","0","431.0","False","0.0941","52","0.2","0","0","52","0.2","0","0","52","0.2","0","0"
"False","0.0","1","249.0","False","0.1129","2118","0.36","94","34","2118","0.36","94","34","2118","0.36","94","34"
"True","6.0","1","223.5","False","0.0435","2118","0.36","94","34","2118","0.36","94","34","2118","0.36","94","34"
"True","2.0","0","268.0","False","0.0387","6072","0.2","0","80","8190","0.56","94","114","6072","0.36","94","80"
"True","1.0","6","89.5","False","0.0934","1407","0.2","0","129","1407","0.2","0","129","1407","0.2","0","129"
"False","0.0","0","216.0","False","0.0208","45","0.2","0","0","45","0.2","0","0","45","0.2","0","0"
"True","3.0","0","149.0","False","0.0741","758","0.2","0","75","758","0.2","0","75","758","0.2","0","75"
"False","0.0","0","178.0","False","0.04","416","0.2","0","5","416","0.2","0","5","416","0.2","0","5"
"True","1.0","0","78.1875","False","0.005","79","0.2","0","2","79","0.2","0","2","79","0.2","0","2"
"False","0.0","0","78.0","False","0.0283","237","0.2","0","2","237","0.2","0","2","237","0.2","0","2"
"False","0.0","0","75.6667","False","0.0342","622","0.2","0","1","622","0.2","0","1","622","0.2","0","1"
"False","0.0","0","217.0","False","0.0894","3788","0.2","4","170","3788","0.2","4","170","3788","0.2","4","170"
"True","1.0","1","249.0","False","0.0717","236","0.2","1","5","236","0.2","1","5","236","0.2","1","5"
"True","2.0","0","161.0","False","0.0265","3383","0.2","0","40","3383","0.2","0","40","3383","0.2","0","40"
"True","1.0","1","431.0","False","0.0833","2118","0.36","94","34","2118","0.36","94","34","2118","0.36","94","34"
"False","0.0","1","154.5","False","0.0353","5243","0.2","0","158","5243","0.2","0","158","5243","0.2","0","158"
"True","1.0","2","249.0","False","0.0559","890","0.2","0","14","890","0.2","0","14","890","0.2","0","14"
"True","1.0","0","223.5","False","0.0398","2118","0.36","94","34","2118","0.36","94","34","2118","0.36","94","34"
"False","0.0","0","74.6","False","0.051","269","0.2","0","0","269","0.2","0","0","269","0.2","0","0"
"True","1.0","0","47.125","False","0.0109","23","0.2","0","0","23","0.2","0","0","23","0.2","0","0"
"True","1.0","1","431.0","False","0.0417","2118","0.36","94","34","2118","0.36","94","34","2118","0.36","94","34"
"False","0.0","0","188.0","False","0.0543","442","0.2","0","20","442","0.2","0","20","442","0.2","0","20"
