"containsURL","URLcount","RTcount","htgScore","reply","OOVratio","first_follower","first_popularity","first_mention","first_list","sum_follower","sum_popularity","sum_mention","sum_list","important_follower","important_popularity","important_mention","important_list"
"True","2.0","1","488.0","False","0.037","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"False","0.0","0","228.0","False","0.0654","1409","0.2","0","7","1409","0.2","0","7","1409","0.2","0","7"
"False","0.0","0","101.8889","False","0.0268","896","0.2","0","8","896","0.2","0","8","896","0.2","0","8"
"True","1.0","0","488.0","False","0.028","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"False","0.0","4","189.75","False","0.0662","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","1.0","3","488.0","False","0.0621","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","1.0","0","52.6667","False","0.053","4884","0.2","0","99","4884","0.2","0","99","4884","0.2","0","99"
"False","0.0","2","269.5","False","0.1128","107518","0.2","0","808","107518","0.2","0","808","107518","0.2","0","808"
"False","0.0","0","113.3333","False","0.019","575","0.2","0","36","575","0.2","0","36","575","0.2","0","36"
"True","2.0","0","488.0","False","0.0795","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","14.0","0","236.0","False","0.0417","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","77.0","0","320.5","False","0.0455","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","2","104.0","False","0.0441","396","0.2","1","1","396","0.2","1","1","396","0.2","1","1"
"False","0.0","1","244.5","False","0.0497","541","0.2","0","22","541","0.2","0","22","541","0.2","0","22"
"True","1.0","0","143.5","False","0.051","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","1.0","0","260.0","False","0.0417","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","14.0","0","236.0","False","0.0417","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","77.0","0","320.5","False","0.0465","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
